path,img_src,current_alt,proposed_alt,decorative,has_dimensions,loading,flags
revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,/images/diagrams/circular-flow-of-income.png,Circular flow of income diagram showing income flowing between households and firms,Circular flow diagram showing income passing between households and firms as spending and factor payments,no,yes,eager (default),
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/ad-movements.png,Diagram showing movements along the aggregate demand curve.,"Aggregate demand curve sloping down, showing a lower price level raising the real output demanded",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/ad-shift.png,Diagram showing shifts of the aggregate demand curve.,"Aggregate demand shifting right to raise real output and the price level, and left to reduce both",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/sras-movements.png,Diagram showing movements along the short-run aggregate supply curve,"Short-run aggregate supply sloping upward, as a higher price level draws out more output while costs are fixed",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/sras-shift.png,Diagram showing the short-run aggregate supply curve shifting in response to a change in production costs,"Short-run aggregate supply shifting right as production costs fall, raising real output and lowering the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/lras-classical.png,Classical long-run aggregate supply curve drawn vertical at the full-employment level of output,"Classical long-run aggregate supply drawn vertical at full employment, so demand changes affect only the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/lras-keynesian.png,"Keynesian long-run aggregate supply curve, horizontal at low output and becoming vertical at full capacity","Keynesian long-run aggregate supply, flat with spare capacity and vertical at full capacity where extra demand is purely inflationary",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,/images/diagrams/lras-shift.png,Diagram showing the long-run aggregate supply curve shifting right as productive capacity increases,"Long-run aggregate supply shifting right as productive capacity grows, raising potential output and easing the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,/images/diagrams/multiplier.png,AD/AS diagram showing the multiplier effect,AD/AS diagram showing an initial rise in aggregate demand producing a larger final increase in real output,no,yes,eager (default),
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,/images/diagrams/sras-movements.png,Diagram showing movements along the short-run aggregate supply curve,"Short-run aggregate supply sloping upward, as a higher price level draws out more output while costs are fixed",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,/images/diagrams/sras-shift.png,Diagram showing the short-run aggregate supply curve shifting in response to a change in production costs,"Short-run aggregate supply shifting right as production costs fall, raising real output and lowering the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,/images/diagrams/lras-classical.png,Classical long-run aggregate supply curve drawn vertical at the full-employment level of output,"Classical long-run aggregate supply drawn vertical at full employment, so demand changes affect only the price level",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,/images/diagrams/lras-keynesian.png,"Keynesian long-run aggregate supply curve, horizontal at low output and becoming vertical at full capacity","Keynesian long-run aggregate supply, flat with spare capacity and vertical at full capacity where extra demand is purely inflationary",no,yes,lazy,
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,/images/diagrams/lras-shift.png,Diagram showing the long-run aggregate supply curve shifting right as productive capacity increases,"Long-run aggregate supply shifting right as productive capacity grows, raising potential output and easing the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/sras-ad-shift-right.png,AD/AS diagram showing short-run growth from an increase in AD,"AD/AS diagram showing aggregate demand shifting right along SRAS, raising both real GDP and the price level",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/ppf-short-run-growth.png,PPF diagram showing short-run growth,Production possibility frontier showing actual growth as the economy moves from inside the curve towards the frontier,no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/lras-shift.png,Diagram showing the long-run aggregate supply curve shifting right as productive capacity increases,"Long-run aggregate supply shifting right as productive capacity grows, raising potential output and easing the price level",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/ppf-long-run-growth.png,Production possibility frontier shifting outwards to show long-run economic growth,Production possibility frontier shifting outwards to show long-run growth in the economy's productive potential,no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/trade-cycle.png,"Trade cycle diagram showing real output fluctuating around the long-run trend rate of growth through boom, recession, slump and recovery","Trade cycle diagram showing real output fluctuating around the trend rate through boom, recession, slump and recovery",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/negative-output-gap-classical.png,"Classical AD/AS diagram showing a negative output gap, with equilibrium real output below the full-employment level","Classical AD/AS diagram showing equilibrium output below full employment, leaving a negative output gap",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/negative-output-gap-keynesian.png,"Keynesian AD/AS diagram showing a negative output gap, with equilibrium real output below the full-employment level","Keynesian AD/AS diagram showing equilibrium output below full employment, leaving a negative output gap",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,/images/diagrams/positive-output-gap-classical.png,"Classical AD/AS diagram showing a positive output gap, with equilibrium real output above the full-employment level","Classical AD/AS diagram showing equilibrium output above the full-employment level, leaving a positive output gap",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-3-inflation-and-deflation.html,/images/diagrams/ad-shift-right.png,"Diagram showing a rightward shift of the aggregate demand curve, illustrating demand-pull inflation.","AD/AS diagram showing aggregate demand shifting right and pulling the price level up, causing demand-pull inflation",no,yes,eager (default),
revision-notes/aqa-a2-macro/2-3-3-inflation-and-deflation.html,/images/diagrams/sras-shift-left.png,"Diagram showing a leftward shift of the short-run aggregate supply curve, illustrating cost-push inflation.","AD/AS diagram showing short-run aggregate supply shifting left, raising the price level and cutting output: cost-push inflation",no,yes,lazy,
revision-notes/aqa-a2-macro/2-3-4-possible-conflicts-between-macroeconomic-policy-objectives.html,/images/diagrams/short-run-phillips-curve.png,Short-run Phillips curve showing the trade-off between the inflation rate and the rate of unemployment,Short-run Phillips curve showing the trade-off between lower unemployment and higher inflation,no,yes,eager (default),
revision-notes/aqa-a2-macro/2-3-4-possible-conflicts-between-macroeconomic-policy-objectives.html,/images/diagrams/long-run-phillips-curve.png,"Long-run Phillips curve drawn vertical at the natural rate of unemployment, showing no long-run trade-off with inflation","Long-run Phillips curve vertical at the natural rate of unemployment, showing no lasting inflation trade-off",no,yes,lazy,
revision-notes/aqa-a2-macro/2-4-3-central-banks-and-monetary-policy.html,/images/diagrams/ad-shift-right-classical-keynesian.png,"AD/AS diagram showing aggregate demand shifting right, compared on Classical and Keynesian LRAS curves","Two panels comparing a rightward AD shift: large output gain on the Keynesian curve, price rise only on the Classical curve",no,yes,eager (default),
