path,link_type,anchor_text,target,insertion_context,flags
revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,related,Gini coefficient,/revision-notes/aqa-a2-micro/1-7-1-the-distribution-of-income-and-wealth.html,"inequality, often measured by the Gini coefficient , to socially acceptable levels.",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,related,negative externalities,/revision-notes/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,"nition"">Aim: Promote sustainability and reduce negative externalities, for example through targets such as the UK's net-zer",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,related,the Balance of Payments,/revision-notes/aqa-a2-macro/2-6-3-the-balance-of-payments.html,ection> The most important component of the Balance of Payments is the Current Account. </,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,related,fiscal policy,/revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,5% of AD. This is determined by government fiscal policy and can be influenced by political priorities and t,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,related,marginal propensity to consume,/revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,The marginal propensity to consume (MPC) is the proportion of an,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,related,automatic stabilisers,/revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,g The economic cycle (automatic stabilisers): Spending changes automatically</st,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,related,price elasticity of demand,/revision-notes/aqa-a2-micro/1-3-2-price-income-and-cross-elasticities-of-demand.html,"the reverse). The size of the effect depends on the price elasticity of demand for exports and imports, so a depreciation may wors",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,ntire SRAS curve is caused by a change in the costs of production for firms across the economy.,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,", or net exports, or an increase in SRAS due to lower costs of production, such as lower wages or lower raw material prices.",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,related,production possibility frontier,/revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,LRAS curve and the production possibility frontier . This is an increase in potential ou,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,related,derived demand,/revision-notes/aqa-a2-micro/1-6-1-the-demand-for-labour-marginal-productivity-theory.html,"employment: Higher output raises derived demand for labour, reducing cyclical une",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-3-3-inflation-and-deflation.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,"on: Occurs when there is rise in the costs of production for firms, shifting the SRAS curve leftwards",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-3-4-possible-conflicts-between-macroeconomic-policy-objectives.html,related,Supply-side policies,/revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,to achieve multiple objectives simultaneously through Supply-side policies. For example:,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-4-3-central-banks-and-monetary-policy.html,related,derived demand,/revision-notes/aqa-a2-micro/1-6-1-the-demand-for-labour-marginal-productivity-theory.html,"higher demand for goods and services. Therefore the derived demand for labour rises, so unemployment falls.",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,"A fal in indirect taxes decreases costs of production for businesses, increases funding available for inv",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,related,derived demand,/revision-notes/aqa-a2-micro/1-6-1-the-demand-for-labour-marginal-productivity-theory.html,"higher demand for goods and services. Therefore the derived demand for labour rises, so unemployment falls.",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,related,Technological change,/revision-notes/aqa-a2-micro/1-4-8-technological-change.html,Technological change can alter the cost and nature of public se,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,"on reduces barriers to entry to markets and reduces costs of production for firms. Therefore, this results in increased com",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,related,productive efficiency,/revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,ompetition this firm lack the incentive to maximise productive efficiency and instead raise prices and lower the quality of g,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,related,derived demand,/revision-notes/aqa-a2-micro/1-6-1-the-demand-for-labour-marginal-productivity-theory.html,"the actual output of the economy has increased, the derived demand for labour must rise to produce these extra goods a",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-1-globalisation.html,related,economic growth and development,/revision-notes/aqa-a2-macro/2-6-5-economic-growth-and-development.html,"tment, and technology transfer, which can stimulate economic growth and development. <strong",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-2-trade.html,related,returns to scale,/revision-notes/aqa-a2-micro/1-4-3-the-law-of-diminishing-returns-and-returns-to-scale.html,Constant returns to scale: assumes that doubling inputs will double,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-2-trade.html,related,producer surplus,/revision-notes/aqa-a2-micro/1-5-11-consumer-and-producer-surplus.html,Green Area: Gain in domestic producer surplus,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-2-trade.html,related,Economies of scale,/revision-notes/aqa-a2-micro/1-4-5-economies-and-diseconomies-of-scale.html,Economies of scale: larger markets allow firms to produce at,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-3-the-balance-of-payments.html,related,fiscal policy,/revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,h can reduce imports. Examples include contractionary fiscal policy and higher interest rates.,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-macro/2-6-3-the-balance-of-payments.html,related,Supply-side policies,/revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,s Supply-side policies: These aim to increase the competitiveness of,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,related,Allocative efficiency,/revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,Allocative Efficiency Allocative efficiency occurs when the economy produces the combination of g,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-2-4-behavioural-economics-and-economic-policy.html,related,consumer behaviour,/revision-notes/aqa-a2-micro/1-2-1-consumer-behaviour.html,in which choice architecture can be used to influence consumer behaviour:,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,related,productive efficiency,/revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,the point where the firm is maximising productive efficiency. <sec,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,related,Returns to Scale,/revision-notes/aqa-a2-micro/1-4-3-the-law-of-diminishing-returns-and-returns-to-scale.html,"Economies of scale (Increasing Returns to Scale): As output rises, LRAC",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,related,Diseconomies of scale,/revision-notes/aqa-a2-micro/1-4-5-economies-and-diseconomies-of-scale.html,> Diseconomies of scale (Decreasing Returns to Scale):</strong,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-4-6-marginal-average-and-total-revenue.html,related,perfect competition,/revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,"n Perfect Competition Firms in perfect competition are price takers , so they sell at th",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-4-8-technological-change.html,related,costs of production,/revision-notes/aqa-a2-micro/1-4-4-costs-of-production.html,Lower costs of production: technological advancements can reduce the,anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-5-1-market-structures.html,related,perfect competition,/revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,"between them. The spectrum of competition ranges from perfect competition to pure monopoly, with various market structures in b",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-5-1-market-structures.html,related,Monopolistic competition,/revision-notes/aqa-a2-micro/1-5-4-monopolistic-competition.html,"Monopolistic competition <span class=""comp-spe",anchor wraps existing prose; no text added or reworded
revision-notes/aqa-a2-micro/1-5-10-market-structure-efficiency-resource-allocation.html,related,perfect competition,/revision-notes/aqa-a2-micro/1-5-3-perfect-competition.html,"trong>. However, perfect competition may lack dynamic efficie",anchor wraps existing prose; no text added or reworded
