url,status,redirect_chain,final_url,canonical,canonical_is_self,meta_robots,title,title_len,description,description_len,og_url,og_title,h1_count,h1,word_count,outbound_links,inbound_links,jsonld_blocks,found_by_link_crawl,error
https://economicsacademy.co.uk/,200,,https://economicsacademy.co.uk/,https://economicsacademy.co.uk/,True,,"Free A-Level Economics Revision Notes & Tutoring | Edexcel, AQA & OCR | Economics Academy",89,"Free A-Level Economics revision notes and past papers for Edexcel, AQA, and OCR — plus expert 1-on-1 tutoring and paper marking from a First-Class Economics graduate with 6 years' experience.",191,https://economicsacademy.co.uk/,"Free A-Level Economics Revision Notes & Tutoring | Edexcel, AQA & OCR | Economics Academy",1,"A-Level Economics Revision Notes, Past Papers & Expert Tuition",135,8,516,1,True,
https://economicsacademy.co.uk/404.html,200,,https://economicsacademy.co.uk/404.html,,,"noindex, nofollow",Page Not Found | Economics Academy,34,"The page you're looking for doesn't exist. Find A-Level Economics revision notes, past papers, tutoring, and marking at Economics Academy.",138,,,1,Page Not Found,25,6,0,0,False,
https://economicsacademy.co.uk/about.html,200,,https://economicsacademy.co.uk/about.html,https://economicsacademy.co.uk/about.html,True,,About Eliot King | A-Level Economics Tutor | Economics Academy,62,"Eliot King is a First-Class BSc Economics graduate and specialist A-Level Economics tutor with 6 years' experience. 100+ students tutored, rated 5/5. Covering Edexcel, AQA, and OCR.",181,https://economicsacademy.co.uk/about.html,About Eliot King | A-Level Economics Tutor | Economics Academy,1,"Hi, I'm Eliot",497,5,4,1,True,
https://economicsacademy.co.uk/confirmation.html,200,,https://economicsacademy.co.uk/confirmation.html,,,"noindex, nofollow",Order Confirmation | Economics Academy,38,Your Economics Academy order is confirmed. Send us your details and exam board so we can start your marking or tutoring.,120,,,1,Thank You for Your Purchase!,157,1,0,0,False,
https://economicsacademy.co.uk/contact.html,200,,https://economicsacademy.co.uk/contact.html,https://economicsacademy.co.uk/contact.html,True,,Contact | A-Level Economics Tutor | Economics Academy,53,"Get in touch with Eliot King — specialist A-Level Economics tutor. Ask about 1-on-1 tutoring, essay marking, or free resources. Responds within 24 hours.",153,https://economicsacademy.co.uk/contact.html,Contact | A-Level Economics Tutor | Economics Academy,1,Get in Touch,188,3,8,1,True,
https://economicsacademy.co.uk/faq.html,200,,https://economicsacademy.co.uk/faq.html,https://economicsacademy.co.uk/faq.html,True,,FAQs | A-Level Economics Tutoring & Marking | Economics Academy,63,"Answers to common questions about Economics Academy's tutoring, paper marking, and free revision resources — including pricing, booking, lesson delivery, turnaround times, and policies.",185,https://economicsacademy.co.uk/faq.html,FAQs | A-Level Economics Tutoring & Marking | Economics Academy,1,Frequently Asked Questions,1402,31,2,1,True,
https://economicsacademy.co.uk/flashcards/,200,,https://economicsacademy.co.uk/flashcards/,https://economicsacademy.co.uk/flashcards/,True,,A-Level Economics Flashcards | Economics Academy,48,"Free interactive A-Level Economics flashcards for Edexcel A and AQA: definitions, formulae, diagrams and evaluation points with spaced repetition.",146,https://economicsacademy.co.uk/flashcards/,A-Level Economics Flashcards | Economics Academy,1,A-Level Economics Flashcards,141,9,173,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/,https://economicsacademy.co.uk/flashcards/aqa/macro/,True,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-1-the-objectives-of-government-economic-policy,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-1-the-objectives-of-government-economic-policy,https://economicsacademy.co.uk/flashcards/aqa/macro/,False,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-2-macroeconomic-indicators,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-2-macroeconomic-indicators,https://economicsacademy.co.uk/flashcards/aqa/macro/,False,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-3-uses-of-index-numbers,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-3-uses-of-index-numbers,https://economicsacademy.co.uk/flashcards/aqa/macro/,False,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-4-uses-of-national-income-data,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-1-4-uses-of-national-income-data,https://economicsacademy.co.uk/flashcards/aqa/macro/,False,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-2-1-the-circular-flow-of-income,200,,https://economicsacademy.co.uk/flashcards/aqa/macro/?topic=2-2-1-the-circular-flow-of-income,https://economicsacademy.co.uk/flashcards/aqa/macro/,False,,AQA A-Level Economics Macroeconomics Flashcards,47,"Free interactive flashcards for AQA A-Level Economics macroeconomics: policy objectives, index numbers, national income, AD/AS analysis and diagrams, with spaced repetition.",173,https://economicsacademy.co.uk/flashcards/aqa/macro/,AQA A-Level Economics Macroeconomics Flashcards,1,AQA A-Level Economics Macroeconomics Flashcards,595,30,1,2,True,
