path,kind,board,module,spec_code,title,title_len,description,desc_len,h1,h1_code_prefix,h1_bare,canonical,canonical_self,h2_count,h2_with_id,heading_skips,words_main,img_count,svg_count,internal_links_out,jsonld_types,has_datePublished,has_dateModified,has_author,og_title_matches,twitter_title_matches,og_desc_matches,twitter_desc_matches
revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,topic,AQA,Macroeconomics,2.1.1,Government Policy Objectives – AQA A-Level Economics Notes,58,"Government Policy Objectives for AQA A-Level Economics macro: growth, unemployment, inflation, the current account, the budget balance and income equality.",155,2.1.1 The Objectives of Government Economic Policy,2.1.1,The Objectives of Government Economic Policy,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,yes,12,12,,756,0,0,18,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,topic,AQA,Macroeconomics,2.1.2,Macroeconomic Indicators – AQA A-Level Economics Notes,54,"Macroeconomic Indicators — AQA A-Level Economics macro: GDP and real GDP per capita, CPI and RPI, unemployment measures, productivity and the current account.",158,2.1.2 Macroeconomic Indicators,2.1.2,Macroeconomic Indicators,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,yes,7,7,,1031,0,0,15,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,topic,AQA,Macroeconomics,2.1.3,Uses of Index Numbers – AQA A-Level Economics Revision Notes,60,"Uses of Index Numbers for AQA A-Level Economics macro. Covers base years and weighting, and how CPI and the inflation rate are calculated step by step.",151,2.1.3 Uses of Index Numbers,2.1.3,Uses of Index Numbers,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,yes,5,5,,1245,0,0,14,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,topic,AQA,Macroeconomics,2.1.4,Uses of National Income Data – AQA A-Level Economics Notes,58,"Uses of National Income Data — AQA A-Level Economics macro: the three measurement methods, comparing living standards over time, and purchasing power parity.",157,2.1.4 Uses of National Income Data,2.1.4,Uses of National Income Data,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,yes,6,6,,1422,0,0,15,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,topic,AQA,Macroeconomics,2.2.1,The Circular Flow of Income – AQA A-Level Economics Notes,57,"The Circular Flow of Income — AQA A-Level Economics macro: the circular flow, injections and withdrawals, equilibrium income, and nominal versus real income.",157,2.2.1 The Circular Flow of Income,2.2.1,The Circular Flow of Income,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,yes,7,7,,762,1,0,17,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,topic,AQA,Macroeconomics,2.2.2,AD and AS Analysis – AQA A-Level Economics Revision Notes,57,"AD and AS Analysis for AQA A-Level Economics macro: the components of AD, movements versus shifts, and the determinants of both SRAS and LRAS, with diagrams.",157,2.2.2 Aggregate Demand and Aggregate Supply Analysis,2.2.2,Aggregate Demand and Aggregate Supply Analysis,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,yes,14,14,,1851,7,0,17,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,topic,AQA,Macroeconomics,2.2.3,The Determinants of Aggregate Demand – AQA A-Level Economics,60,"The Determinants of Aggregate Demand for AQA A-Level Economics macro. Covers consumption, investment, government spending and the accelerator effect.",149,2.2.3 The Determinants of Aggregate Demand,2.2.3,The Determinants of Aggregate Demand,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,yes,8,8,,1210,0,0,19,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,topic,AQA,Macroeconomics,2.2.4,AD and the Multiplier – AQA A-Level Economics Revision Notes,60,"AD and the Multiplier — AQA A-Level Economics macro: the multiplier process, marginal propensities, the formula, and what determines its size, with a diagram.",158,2.2.4 Aggregate Demand and the Level of Economic Activity,2.2.4,Aggregate Demand and the Level of Economic Activity,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,yes,9,9,,985,1,0,17,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,topic,AQA,Macroeconomics,2.2.5,Determinants of SRAS – AQA A-Level Economics Revision Notes,59,"Determinants of SRAS — AQA A-Level Economics macro. Covers why SRAS slopes upward and how production costs, wages and exchange rates shift it, with diagrams.",157,2.2.5 Determinants of Short-Run Aggregate Supply,2.2.5,Determinants of Short-Run Aggregate Supply,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,yes,6,6,,651,2,0,18,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,topic,AQA,Macroeconomics,2.2.6,Determinants of Long-Run Aggregate Supply – AQA A-Level Economics,65,Determinants of Long-Run Aggregate Supply — AQA A-Level Economics macro: the Classical and Keynesian views of LRAS and the factors that shift productive potential.,163,2.2.6 Determinants of Long-Run Aggregate Supply,2.2.6,Determinants of Long-Run Aggregate Supply,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,yes,6,6,,885,3,0,17,BreadcrumbList;LearningResource,yes,yes,yes,yes,yes,yes,yes
