path,kind,board,module,spec_code,title,title_len,description,desc_len,h1,h1_code_prefix,h1_bare,canonical,canonical_self,h2_count,h2_with_id,heading_skips,words_main,img_count,svg_count,internal_links_out,jsonld_types,has_datePublished,has_dateModified,has_author,og_title_matches,twitter_title_matches,og_desc_matches,twitter_desc_matches
revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,topic,AQA,Macroeconomics,2.1.1,AQA A-Level Economics 2.1.1 Government Policy Objectives,56,"Free AQA A-Level Economics revision notes for unit 2.1.1. Covers growth, unemployment, inflation, the current account, the budget balance and income equality.",158,2.1.1 The Objectives of Government Economic Policy,2.1.1,The Objectives of Government Economic Policy,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,yes,12,0,,695,0,0,15,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,topic,AQA,Macroeconomics,2.1.2,AQA A-Level Economics 2.1.2 Macroeconomic Indicators,52,"Revision notes for AQA A-Level Economics 2.1.2. Covers GDP and real GDP per capita, CPI and RPI, unemployment measures, productivity and the current account.",157,2.1.2 Macroeconomic Indicators,2.1.2,Macroeconomic Indicators,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,yes,7,0,,1001,0,0,14,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,topic,AQA,Macroeconomics,2.1.3,AQA A-Level Economics 2.1.3 Uses of Index Numbers,49,"Free AQA A-Level Economics revision notes for unit 2.1.3. Covers base years and weighting, and how CPI and the inflation rate are calculated step by step.",154,2.1.3 Uses of Index Numbers,2.1.3,Uses of Index Numbers,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,yes,5,0,,1215,0,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,topic,AQA,Macroeconomics,2.1.4,AQA A-Level Economics 2.1.4 Uses of National Income Data,56,"Free AQA A-Level Economics revision notes (2.1.4). Covers the three measurement methods, comparing living standards over time, and purchasing power parity.",155,2.1.4 Uses of National Income Data,2.1.4,Uses of National Income Data,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,yes,6,0,,1379,0,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,topic,AQA,Macroeconomics,2.2.1,AQA A-Level Economics 2.2.1 The Circular Flow of Income,55,"Free AQA A-Level Economics revision notes (2.2.1). Covers the circular flow, injections and withdrawals, equilibrium income, and nominal versus real income.",156,2.2.1 The Circular Flow of Income,2.2.1,The Circular Flow of Income,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,yes,7,0,,704,1,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,topic,AQA,Macroeconomics,2.2.2,AQA A-Level Economics 2.2.2 AD and AS Analysis,46,"AQA A-Level Economics 2.2.2 revision notes. Covers the components of AD, movements versus shifts, and the determinants of both SRAS and LRAS. With diagrams.",156,2.2.2 Aggregate Demand and Aggregate Supply Analysis,2.2.2,Aggregate Demand and Aggregate Supply Analysis,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,yes,14,0,,1766,7,0,14,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,topic,AQA,Macroeconomics,2.2.3,AQA A-Level Economics 2.2.3 Determinants of Aggregate Demand,60,"Revision notes for AQA A-Level Economics 2.2.3. Covers consumption, investment, government spending and the accelerator effect. Includes evaluation points.",155,2.2.3 The Determinants of Aggregate Demand,2.2.3,The Determinants of Aggregate Demand,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,yes,8,0,,1173,0,0,16,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,topic,AQA,Macroeconomics,2.2.4,AQA A-Level Economics 2.2.4 AD and the Multiplier,49,"AQA A-Level Economics 2.2.4 revision notes. Covers the multiplier process, marginal propensities, the formula, and what determines its size. With diagrams.",155,2.2.4 Aggregate Demand and the Level of Economic Activity,2.2.4,Aggregate Demand and the Level of Economic Activity,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,yes,9,0,,915,1,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,topic,AQA,Macroeconomics,2.2.5,AQA A-Level Economics 2.2.5 Determinants of SRAS,48,"AQA A-Level Economics 2.2.5 revision notes. Covers why SRAS slopes upward and how production costs, wages and exchange rates shift it. With comparison tables.",158,2.2.5 Determinants of Short-Run Aggregate Supply,2.2.5,Determinants of Short-Run Aggregate Supply,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,yes,6,0,,598,2,0,14,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,topic,AQA,Macroeconomics,2.2.6,AQA A-Level Economics 2.2.6 Determinants of LRAS,48,AQA A-Level Economics 2.2.6 revision notes. Covers the Classical and Keynesian views of LRAS and the factors that shift productive potential. With diagrams.,156,2.2.6 Determinants of Long-Run Aggregate Supply,2.2.6,Determinants of Long-Run Aggregate Supply,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,yes,6,0,,831,3,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,topic,AQA,Macroeconomics,2.3.1,AQA A-Level Economics 2.3.1 Economic Growth and the Cycle,57,"Free AQA A-Level Economics revision notes (2.3.1). Covers short-run versus long-run growth, the phases of the cycle, output gaps and the costs of growth.",153,2.3.1 Economic Growth and the Economic Cycle,2.3.1,Economic Growth and the Economic Cycle,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,yes,9,0,,2025,8,0,16,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
revision-notes/aqa-a2-macro/2-3-2-employment-and-unemployment.html,topic,AQA,Macroeconomics,2.3.2,AQA A-Level Economics 2.3.2 Employment and Unemployment,55,"Free AQA A-Level Economics revision notes for unit 2.3.2. Covers the Labour Force Survey and Claimant Count, types of unemployment and the natural rate.",152,2.3.2 Employment and Unemployment,2.3.2,Employment and Unemployment,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-2-employment-and-unemployment.html,yes,10,0,,959,0,0,13,BreadcrumbList;LearningResource,no,no,no,yes,yes,yes,yes
