Top queries,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
economics academy,25,13,61,64,40.98%,20.31%,1.97,3.47
economic academy,3,0,25,32,12%,0%,4.32,5.03
edexcel a level economics notes,3,1,21,21,14.29%,4.76%,4.86,5
a level economics revision,2,0,71,57,2.82%,0%,7.75,8.02
a level economics revision notes,2,1,51,48,3.92%,2.08%,2.86,3.21
economics a level notes,2,1,26,22,7.69%,4.55%,4.27,6.32
economics a level,1,0,71,13,1.41%,0%,13.11,26.85
a level economics resources,1,3,56,58,1.79%,5.17%,6.84,6.4
econ academy,1,0,46,42,2.17%,0%,6.48,5.43
a level economics notes,1,3,33,36,3.03%,8.33%,3.79,4.22
economics as a social science,1,1,24,2,4.17%,50%,9.42,12
macroeconomics diagrams,1,0,20,11,5%,0%,8.4,6.27
edexcel economics b past papers,1,0,13,27,7.69%,0%,5,5
economics past papers edexcel,1,0,13,35,7.69%,0%,7.92,10.4
economics revision notes,1,3,12,23,8.33%,13.04%,4.5,5.09
economics b edexcel a level,1,1,11,2,9.09%,50%,10.09,9
types of market failure a level economics,1,0,9,3,11.11%,0%,5.56,26.67
a level economics edexcel b past papers,1,0,7,2,14.29%,0%,4,5
economics a level edexcel revision,1,0,7,1,14.29%,0%,8.29,7
information gaps,1,0,7,7,14.29%,0%,13.86,15
economics diagrams a level,1,0,3,0,33.33%,0%,8,0
government failure meaning,1,0,2,1,50%,0%,6,10
as level economics notes,1,0,2,6,50%,0%,10,7.33
macro economic graphs,1,0,2,0,50%,0%,23,0
aqa exam board,1,0,1,0,100%,0%,1,0
alevel economics notes,1,1,1,4,100%,25%,3,5
a level economics,0,0,188,24,0%,0%,14.96,13.62
"pearson edexcel a level economics specification demerit goods information 
failure",0,0,121,6,0%,0%,7.98,4.33
microeconomics diagrams,0,0,102,32,0%,0%,7.7,9.41
edexcel a level economics past papers,0,0,99,197,0%,0%,8.17,8.24
economics revision,0,1,71,102,0%,0.98%,7.3,6.78
a level economics revision worksheets,0,0,65,54,0%,0%,5.43,5
a level economics tutor online,0,0,56,2,0%,0%,35.36,45.5
ocr a level economics past papers,0,0,55,50,0%,0%,10.73,9.08
a-level economics,0,0,52,9,0%,0%,14.02,15.22
a level economics tuition,0,0,50,60,0%,0%,51.94,56.38
government expenditure,0,0,47,53,0%,0%,21.62,22.51
online a level economics tutor,0,0,47,24,0%,0%,22.74,25.17
economics a level revision,0,0,45,39,0%,0%,6.96,5.92
price elasticity of supply,0,0,45,0,0%,0%,37.91,0
edexcel economics past papers,0,0,38,22,0%,0%,9.58,10.73
"pearson edexcel a level economics specification information failure demerit 
goods",0,0,37,0,0%,0%,7.46,0
"pearson edexcel a level economics a specification information gaps 
misallocation of resources",0,0,36,0,0%,0%,9.22,0
ocr economics,0,0,35,15,0%,0%,21.6,23.2
edexcel economics a level specification demerit goods information failure,0,0,32,0,0%,0%,9.72,0
economics tuition,0,0,31,34,0%,0%,50.29,51.74
division of labour,0,0,30,11,0%,0%,12.63,28.73
economics notes,0,0,30,43,0%,0%,14.3,15.88
types of market failure,0,0,30,12,0%,0%,15.97,27.67
macroeconomics revision,0,0,30,34,0%,0%,31.03,32.74
economics revision resources,0,0,29,29,0%,0%,4.97,4.76
specialisation definition economics,0,0,29,33,0%,0%,12.31,9.67
"pearson edexcel a level economics a specification information gaps 
imperfect information misallocation of resources",0,0,27,0,0%,0%,4.81,0
"""global trade in sand has been made possible by cheaper transportation""",0,0,27,0,0%,0%,5.85,0
economics a-level,0,0,26,1,0%,0%,12.04,13
a-level economics resources,0,1,24,17,0%,5.88%,5.83,5.47
microeconomics diagram,0,0,24,9,0%,0%,7.88,8.78
a level economics past papers edexcel,0,0,24,15,0%,0%,8.46,16.33
ocr economics a level past papers,0,1,24,34,0%,2.94%,8.62,8
home economics revision notes,0,0,24,8,0%,0%,17.54,16.88
market failure types,0,0,24,4,0%,0%,34.67,39
government failure definition,0,0,23,9,0%,0%,13.13,18
